date,vehicle,odometer_start,odometer_end,miles,purpose,entity,from,to,notes
2025-01-07,V2018Sedan,48069,48142,73.7,Client visit — Office,Acme,Conference center,Industry meetup,ProjectAlpha site visit
2025-01-07,V2018Sedan,48163,48165,2.9,Personal trip,Personal,Maple Hollow Hardware,Hardware run,
2025-01-10,V2018Sedan,48211,48220,9.6,Personal trip,Personal,Greenleaf Market,Groceries,
2025-01-21,V2018Sedan,48000,48060,60.2,Client visit — Brightstar Co.,Acme,Office,Client site,
2025-01-21,V2018Sedan,48183,48204,21.9,Personal trip,Personal,Plainview Family Practice,Doctor,
2025-01-21,V2018Sedan,48220,48225,5.1,Personal trip,Personal,Greenleaf Market,Groceries,
2025-01-22,V2018Sedan,48060,48069,9.3,Client visit — Northwind Holdings,Acme,Office,Quarterly review,
2025-01-23,V2018Sedan,48204,48211,7.9,Personal trip,Personal,Greenleaf Market,Groceries,
2025-01-25,V2018Sedan,48165,48183,18.0,Personal trip,Personal,Northshore Dental,Dentist,
2025-01-31,V2018Sedan,48142,48163,21.1,Client visit — Northwind Holdings,Acme,Office,Quarterly review,
2025-02-05,V2018Sedan,48353,48357,4.6,Personal trip,Personal,Plainview Family Practice,Doctor,
2025-02-06,V2018Sedan,48327,48345,18.6,Personal trip,Personal,Maple Hollow Hardware,Hardware run,
2025-02-10,V2018Sedan,48270,48327,57.3,Client visit — Brightstar Co.,Acme,Office,Project standup,
2025-02-12,V2018Sedan,48382,48395,13.3,Personal trip,Personal,Maple Hollow Hardware,Hardware run,
2025-02-19,V2018Sedan,48365,48382,17.1,Personal trip,Personal,Maple Hollow Hardware,Hardware run,
2025-02-20,V2018Sedan,48357,48365,8.6,Personal trip,Personal,Greenleaf Market,Groceries,
2025-02-23,V2018Sedan,48256,48270,14.6,Client visit — Brightstar Co.,Acme,Office,Client site,ProjectAlpha site visit
2025-02-24,V2018Sedan,48345,48353,8.1,Personal trip,Personal,Plainview Family Practice,Doctor,
2025-02-28,V2018Sedan,48225,48256,31.7,Client visit — Northwind Holdings,Acme,Office,Quarterly review,
2025-03-03,V2018Sedan,48448,48516,68.2,Client visit — Brightstar Co.,Acme,Office,Project standup,
2025-03-11,V2018Sedan,48542,48563,21.5,Personal trip,Personal,Northshore Dental,Dentist,
2025-03-23,V2018Sedan,48395,48448,53.9,Client visit — Cobalt Industries,Acme,Office,Vendor meeting,
2025-03-26,V2018Sedan,48516,48537,21.0,Personal trip,Personal,Maple Hollow Hardware,Hardware run,
2025-03-27,V2018Sedan,48563,48576,13.3,Personal trip,Personal,Plainview Family Practice,Doctor,
2025-03-27,V2018Sedan,48576,48586,10.1,Personal trip,Personal,Maple Hollow Hardware,Hardware run,
2025-03-31,V2018Sedan,48537,48542,5.7,Personal trip,Personal,Bayside Cinemas,Movies,
2025-04-10,V2018Sedan,48649,48703,54.7,Client visit — Northwind Holdings,Acme,Office,Quarterly review,ProjectAlpha site visit
2025-04-12,V2018Sedan,48703,48728,25.0,Personal trip,Personal,Greenleaf Market,Groceries,
2025-04-15,V2018Sedan,48749,48774,25.1,Personal trip,Personal,Maple Hollow Hardware,Hardware run,
2025-04-21,V2018Sedan,48586,48649,63.9,Client visit — Brightstar Co.,Acme,Office,Client site,
2025-04-21,V2018Sedan,48742,48749,7.8,Personal trip,Personal,Northshore Dental,Dentist,
2025-04-28,V2018Sedan,48728,48742,14.0,Personal trip,Personal,Greenleaf Market,Groceries,
2025-05-02,V2018Sedan,48948,48956,8.6,Personal trip,Personal,Northshore Dental,Dentist,
2025-05-10,V2018Sedan,48964,48967,3.0,Personal trip,Personal,Greenleaf Market,Groceries,
2025-05-16,V2018Sedan,48868,48939,71.7,Client visit — Cobalt Industries,Acme,Office,Vendor meeting,
2025-05-17,V2018Sedan,48774,48830,56.6,Client visit — Office,Acme,Co-working space,Working session,
2025-05-17,V2018Sedan,48854,48868,14.0,Client visit — Brightstar Co.,Acme,Office,Client site,
2025-05-22,V2018Sedan,48830,48854,24.7,Client visit — Office,Acme,Co-working space,Working session,
2025-05-22,V2018Sedan,48956,48964,8.4,Personal trip,Personal,Greenleaf Market,Groceries,
2025-05-24,V2018Sedan,48939,48948,9.3,Personal trip,Personal,Maple Hollow Hardware,Hardware run,
2025-06-03,V2018Sedan,49226,49246,20.5,Personal trip,Personal,Northshore Dental,Dentist,
2025-06-11,V2018Sedan,49148,49210,62.6,Client visit — Northwind Holdings,Acme,Office,Quarterly review,
2025-06-13,V2018Sedan,49057,49148,91.7,Client visit — Cobalt Industries,Acme,Office,Vendor meeting,
2025-06-19,V2018Sedan,49210,49226,16.2,Personal trip,Personal,Greenleaf Market,Groceries,
2025-06-25,V2018Sedan,48967,49057,90.6,Client visit — Brightstar Co.,Acme,Office,Client site,
2025-06-29,V2018Sedan,49251,49266,15.6,Personal trip,Personal,Plainview Family Practice,Doctor,
2025-06-30,V2018Sedan,49246,49251,5.2,Personal trip,Personal,Plainview Family Practice,Doctor,
2025-07-01,V2018Sedan,49524,49551,27.6,Personal trip,Personal,Plainview Family Practice,Doctor,
2025-07-05,V2018Sedan,49394,49475,81.6,Client visit — Office,Acme,Conference center,Industry meetup,ProjectAlpha site visit
2025-07-07,V2018Sedan,49370,49394,24.4,Client visit — Cobalt Industries,Acme,Office,Vendor meeting,ProjectAlpha site visit
2025-07-10,V2018Sedan,49551,49576,25.5,Personal trip,Personal,Plainview Family Practice,Doctor,
2025-07-12,V2018Sedan,49475,49487,12.8,Personal trip,Personal,Maple Hollow Hardware,Hardware run,
2025-07-13,V2018Sedan,49499,49524,25.3,Personal trip,Personal,Maple Hollow Hardware,Hardware run,
2025-07-17,V2018Sedan,49266,49281,15.3,Client visit — Brightstar Co.,Acme,Office,Project standup,
2025-07-17,V2018Sedan,49487,49499,12.6,Personal trip,Personal,Maple Hollow Hardware,Hardware run,
2025-07-19,V2018Sedan,49281,49370,89.0,Client visit — Office,Acme,Co-working space,Working session,ProjectAlpha site visit
2025-08-03,V2018Sedan,49644,49683,39.7,Client visit — Office,Acme,Co-working space,Working session,
2025-08-06,V2018Sedan,49750,49773,23.0,Personal trip,Personal,Bayside Cinemas,Movies,
2025-08-09,V2018Sedan,49716,49720,4.4,Personal trip,Personal,Bayside Cinemas,Movies,
2025-08-20,V2018Sedan,49683,49711,28.9,Client visit — Brightstar Co.,Acme,Office,Client site,
2025-08-22,V2018Sedan,49711,49716,5.9,Personal trip,Personal,Plainview Family Practice,Doctor,
2025-08-23,V2018Sedan,49720,49728,8.0,Personal trip,Personal,Greenleaf Market,Groceries,
2025-08-27,V2018Sedan,49576,49644,68.3,Client visit — Brightstar Co.,Acme,Office,Project standup,ProjectAlpha site visit
2025-08-30,V2018Sedan,49728,49750,22.4,Personal trip,Personal,Plainview Family Practice,Doctor,
2025-09-03,V2018Sedan,49887,49905,18.2,Personal trip,Personal,Northshore Dental,Dentist,
2025-09-05,V2018Sedan,49773,49835,62.7,Client visit — Brightstar Co.,Acme,Office,Client site,
2025-09-07,V2018Sedan,49913,49925,12.1,Personal trip,Personal,Greenleaf Market,Groceries,
2025-09-10,V2018Sedan,49835,49860,25.4,Client visit — Office,Acme,Conference center,Industry meetup,
2025-09-12,V2018Sedan,49925,49951,26.4,Personal trip,Personal,Greenleaf Market,Groceries,
2025-09-16,V2018Sedan,49860,49887,27.5,Personal trip,Personal,Maple Hollow Hardware,Hardware run,
2025-09-17,V2018Sedan,49905,49913,8.7,Personal trip,Personal,Northshore Dental,Dentist,
2025-10-01,V2018Sedan,50060,50121,61.3,Client visit — Brightstar Co.,Acme,Office,Client site,ProjectAlpha site visit
2025-10-03,V2018Sedan,49960,50036,76.7,Client visit — Office,Acme,Co-working space,Working session,
2025-10-04,V2018Sedan,50147,50171,24.4,Personal trip,Personal,Northshore Dental,Dentist,
2025-10-06,V2018Sedan,50036,50060,24.9,Client visit — Northwind Holdings,Acme,Office,Quarterly review,ProjectAlpha site visit
2025-10-09,V2018Sedan,50171,50181,10.5,Personal trip,Personal,Greenleaf Market,Groceries,
2025-10-16,V2018Sedan,50121,50147,26.6,Personal trip,Personal,Maple Hollow Hardware,Hardware run,
2025-10-19,V2018Sedan,50207,50231,24.9,Personal trip,Personal,Maple Hollow Hardware,Hardware run,
2025-10-23,V2018Sedan,50181,50207,26.2,Personal trip,Personal,Plainview Family Practice,Doctor,
2025-10-24,V2018Sedan,49951,49960,9.9,Client visit — Brightstar Co.,Acme,Office,Project standup,ProjectAlpha site visit
2025-10-30,V2018Sedan,50231,50251,20.3,Personal trip,Personal,Plainview Family Practice,Doctor,
2025-11-05,V2018Sedan,50436,50445,9.9,Personal trip,Personal,Bayside Cinemas,Movies,
2025-11-08,V2018Sedan,50375,50396,21.4,Personal trip,Personal,Plainview Family Practice,Doctor,
2025-11-09,V2018Sedan,50427,50436,9.7,Personal trip,Personal,Greenleaf Market,Groceries,
2025-11-13,V2018Sedan,50405,50427,22.7,Personal trip,Personal,Northshore Dental,Dentist,
2025-11-24,V2018Sedan,50308,50375,67.6,Client visit — Brightstar Co.,Acme,Office,Project standup,
2025-11-26,V2018Sedan,50396,50405,9.8,Personal trip,Personal,Plainview Family Practice,Doctor,
2025-11-29,V2018Sedan,50251,50284,33.5,Client visit — Cobalt Industries,Acme,Office,Vendor meeting,
2025-11-30,V2018Sedan,50284,50308,24.3,Client visit — Cobalt Industries,Acme,Office,Vendor meeting,
2025-11-30,V2018Sedan,50445,50458,13.4,Personal trip,Personal,Greenleaf Market,Groceries,
2025-12-05,V2018Sedan,50557,50574,17.6,Personal trip,Personal,Bayside Cinemas,Movies,
2025-12-13,V2018Sedan,50509,50519,10.8,Client visit — Brightstar Co.,Acme,Office,Project standup,
2025-12-20,V2018Sedan,50588,50600,12.2,Personal trip,Personal,Maple Hollow Hardware,Hardware run,
2025-12-23,V2018Sedan,50574,50588,14.3,Personal trip,Personal,Maple Hollow Hardware,Hardware run,
2025-12-24,V2018Sedan,50519,50557,38.8,Client visit — Brightstar Co.,Acme,Office,Project standup,
2025-12-24,V2018Sedan,50600,50617,17.9,Personal trip,Personal,Maple Hollow Hardware,Hardware run,
2025-12-25,V2018Sedan,50483,50509,26.8,Client visit — Office,Acme,Conference center,Industry meetup,ProjectAlpha site visit
2025-12-25,V2018Sedan,50637,50660,23.6,Personal trip,Personal,Northshore Dental,Dentist,
2025-12-26,V2018Sedan,50458,50483,25.5,Client visit — Brightstar Co.,Acme,Office,Project standup,
2025-12-26,V2018Sedan,50617,50637,20.5,Personal trip,Personal,Bayside Cinemas,Movies,
